comuna,dormitorios,baños,estacionamientos,bodegas,superficie_total,superficie_util,precio,gastos_comunes,lat,long,precio_total,distancia_estacion,estacion_cercana
Independencia,1.0,1.0,0.0,0.0,27.16,27.16,290000.0,0.0,-33.427277,-70.65609,290000.0,758.1818571132526,Puente Cal y Canto
Independencia,1.0,1.0,0.0,0.0,32.0,32.0,260000.0,35000.0,-33.4126782,-70.6550924,295000.0,588.3528644979856,Hospitales
Independencia,1.0,1.0,0.0,0.0,35.0,31.0,325000.0,40000.0,-33.4261786,-70.6582706,365000.0,943.3892169549734,Hospitales
Independencia,2.0,1.0,0.0,0.0,46.39,46.39,420000.0,0.0,-33.419086,-70.659668,420000.0,366.929599551017,Hospitales
Independencia,1.0,1.0,0.0,0.0,28.0,28.0,290000.0,41801.0,-33.420662,-70.661064,331801.0,562.750381774902,Hospitales
Independencia,1.0,1.0,1.0,0.0,35.0,35.0,380000.0,60000.0,-33.4069257,-70.6669885,440000.0,554.441091701637,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,28.0,28.0,270000.0,38000.0,-33.4226695,-70.6551854,308000.0,533.6625270948957,Hospitales
Independencia,2.0,1.0,0.0,0.0,46.0,42.0,330000.0,60000.0,-33.4126782,-70.6550924,390000.0,588.3528644979856,Hospitales
Independencia,1.0,1.0,0.0,0.0,28.0,28.0,260000.0,60000.0,-33.4067882,-70.6635983,320000.0,240.82535935959996,Plaza Chacabuco
Independencia,2.0,2.0,0.0,0.0,45.0,43.0,400000.0,0.0,-33.4150716,-70.6702723,400000.0,1292.6413928295372,Plaza Chacabuco
Independencia,2.0,1.0,0.0,1.0,46.39,46.39,420000.0,0.0,-33.419086,-70.659668,420000.0,366.929599551017,Hospitales
Independencia,1.0,1.0,0.0,0.0,38.0,38.0,350000.0,50000.0,-33.40796,-70.65942,400000.0,233.8547717942241,Plaza Chacabuco
Independencia,2.0,2.0,1.0,0.0,59.0,55.0,420000.0,70000.0,-33.4090328,-70.657381,490000.0,452.44631974135126,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,30.0,30.0,290391.0,32000.0,-33.4009685,-70.6609673,322391.0,599.855963498192,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,38.0,38.0,350000.0,50000.0,-33.40796,-70.65942,400000.0,233.8547717942241,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,49.5,49.5,330000.0,0.0,-33.419086,-70.659668,330000.0,366.929599551017,Hospitales
Independencia,2.0,1.0,0.0,1.0,41.0,41.0,400000.0,35000.0,-33.4126603,-70.6550495,435000.0,590.8888752756405,Hospitales
Independencia,2.0,2.0,1.0,0.0,51.85,51.85,450000.0,0.0,-33.419086,-70.659668,450000.0,366.929599551017,Hospitales
Independencia,1.0,1.0,0.0,0.0,33.5,33.5,325000.0,0.0,-33.419086,-70.659668,325000.0,366.929599551017,Hospitales
Independencia,2.0,1.0,0.0,0.0,60.0,60.0,340000.0,50000.0,-33.4103595,-70.6546974,390000.0,739.1111876939271,Plaza Chacabuco
Independencia,1.0,1.0,1.0,0.0,37.0,34.0,375000.0,55000.0,-33.4097178,-70.6546523,430000.0,702.0399929809729,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,40.0,36.0,350000.0,50000.0,-33.40796,-70.65942,400000.0,233.8547717942241,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,32.0,30.0,275000.0,45000.0,-33.4190857,-70.6596697,320000.0,367.0653592129485,Hospitales
Independencia,2.0,2.0,1.0,0.0,51.85,51.85,475000.0,0.0,-33.419086,-70.659668,475000.0,366.929599551017,Hospitales
Independencia,1.0,1.0,0.0,0.0,30.0,28.0,320000.0,60000.0,-33.4190857,-70.6596697,380000.0,367.0653592129485,Hospitales
Independencia,2.0,1.0,0.0,0.0,38.0,36.0,320000.0,57000.0,-33.4212293,-70.661437,377000.0,627.0080081824065,Hospitales
Independencia,1.0,1.0,0.0,0.0,37.0,32.0,320000.0,40000.0,-33.4190857,-70.6596697,360000.0,367.0653592129485,Hospitales
Independencia,2.0,1.0,0.0,0.0,42.0,40.0,349000.0,67500.0,-33.4104127,-70.6593522,416500.0,477.5894087184925,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,48.0,48.0,82737005.0,70000.0,-33.4032842,-70.6642949,82807005.0,455.62236586050506,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,36.0,34.0,400000.0,65000.0,-33.418204,-70.6652735,465000.0,864.1004831871144,Hospitales
Independencia,3.0,2.0,0.0,1.0,60.0,60.0,480000.0,0.0,-33.41964,-70.671227,480000.0,1429.1196563401825,Hospitales
Independencia,2.0,1.0,0.0,0.0,35.03,35.03,350000.0,68177.0,-33.406788,-70.663597,418177.0,240.702638250611,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,43.33,43.33,360000.0,65000.0,-33.4202972,-70.658115,425000.0,331.17928033012697,Hospitales
Independencia,2.0,2.0,0.0,0.0,54.0,50.0,400000.0,90000.0,-33.4221467,-70.6613982,490000.0,689.2745067517548,Hospitales
Independencia,2.0,1.0,0.0,0.0,60.0,60.0,340000.0,70000.0,-33.4103899,-70.6548089,410000.0,732.9312451213366,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,27.0,27.0,300000.0,40000.0,-33.4291436,-70.6578806,340000.0,713.1015964539095,Puente Cal y Canto
Independencia,3.0,2.0,1.0,0.0,67.0,67.0,600000.0,0.0,-33.404753,-70.669635,600000.0,816.44401911196,Plaza Chacabuco
Independencia,2.0,2.0,1.0,0.0,45.0,45.0,436073.0,55000.0,-33.4150716,-70.6702723,491073.0,1292.6413928295372,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,32.0,32.0,330000.0,35000.0,-33.4150716,-70.6702723,365000.0,1292.6413928295372,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,44.0,41.0,450000.0,60000.0,-33.4126782,-70.6550924,510000.0,588.3528644979856,Hospitales
Independencia,2.0,1.0,0.0,1.0,49.0,45.0,450000.0,50000.0,-33.4090328,-70.657381,500000.0,452.44631974135126,Plaza Chacabuco
Independencia,2.0,2.0,1.0,0.0,45.0,45.0,436073.0,55000.0,-33.4150716,-70.6702723,491073.0,1292.6413928295372,Plaza Chacabuco
Independencia,1.0,1.0,1.0,0.0,40.0,35.0,500000.0,50000.0,-33.4097178,-70.6546523,550000.0,702.0399929809729,Plaza Chacabuco
Independencia,2.0,1.0,0.0,0.0,41.0,39.0,330000.0,52000.0,-33.4103595,-70.6546974,382000.0,739.1111876939271,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,36.0,34.0,320000.0,45000.0,-33.4190857,-70.6596697,365000.0,367.0653592129485,Hospitales
Independencia,1.0,1.0,0.0,0.0,30.0,30.0,300000.0,0.0,-33.4238124,-70.6565311,300000.0,657.8096694460789,Hospitales
Independencia,2.0,2.0,1.0,0.0,64.45,66.0,430000.0,100000.0,-33.4053482,-70.6624346,530000.0,170.55321799730865,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,30.0,30.0,300000.0,50000.0,-33.4202972,-70.658115,350000.0,331.17928033012697,Hospitales
Independencia,1.0,1.0,0.0,0.0,35.0,35.0,320000.0,37000.0,-33.4126782,-70.6550924,357000.0,588.3528644979856,Hospitales
Independencia,1.0,1.0,0.0,0.0,28.0,28.0,300000.0,0.0,-33.4218963,-70.6552783,300000.0,447.3030084881817,Hospitales
Independencia,2.0,1.0,0.0,0.0,52.0,50.0,430000.0,55000.0,-33.4150716,-70.6702723,485000.0,1292.6413928295372,Plaza Chacabuco
Independencia,1.0,1.0,0.0,0.0,25.0,25.0,300000.0,50000.0,-33.4055394,-70.6617835,350000.0,113.67333098155461,Plaza Chacabuco
Independencia,2.0,2.0,1.0,1.0,54.0,49.0,475000.0,60000.0,-33.4190857,-70.6596697,535000.0,367.0653592129485,Hospitales
Independencia,1.0,1.0,1.0,0.0,32.0,30.0,350000.0,80000.0,-33.4243022,-70.6563737,430000.0,711.216269434325,Hospitales
Independencia,1.0,1.0,0.0,0.0,30.0,30.0,295000.0,45000.0,-33.4181726,-70.6659555,340000.0,927.2618131839355,Hospitales
Independencia,1.0,1.0,0.0,0.0,35.0,35.0,270000.0,55000.0,-33.4126782,-70.6550924,325000.0,588.3528644979856,Hospitales
Independencia,1.0,1.0,1.0,1.0,37.0,32.0,389351.0,55000.0,-33.4233051,-70.6539539,444351.0,627.941607746738,Hospitales
